Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_by_Loan,Loan_to_Income,EMI,Balance_Income
Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,5849.0,45.34108527131783,0.02188034188034188,0.3545706371191136,5721.0
Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,6091.0,47.21705426356589,0.021011162179908074,0.3545706371191136,5963.0
Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,3000.0,44.776119402985074,0.021992669110296566,0.18282548476454294,2934.0
Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,4941.0,40.83471074380165,0.024281667341157425,0.33240997229916897,4821.0
Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,6000.0,42.25352112676056,0.023496083986002333,0.39058171745152354,5859.0
Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,9613.0,35.86940298507463,0.027771999167880174,0.739612188365651,9346.0
Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,3849.0,40.09375,0.024675324675324677,0.2631578947368421,3754.0
Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,5540.0,34.84276729559748,0.02851470853636528,0.4376731301939058,5382.0
Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,5532.0,32.73372781065089,0.030363274896078075,0.46537396121883656,5364.0
Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,23809.0,68.02571428571429,0.014657706845863082,0.9667590027700831,23460.0
Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,3900.0,54.929577464788736,0.017944116893104333,0.19390581717451524,3830.0
Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,4340.0,39.45454545454545,0.025109421792213777,0.30193905817174516,4231.0
Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,11179.0,55.61691542288557,0.017889087656529516,0.554016620498615,10979.0
Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,4693.0,40.80869565217391,0.024286322965487855,0.3157894736842105,4579.0
Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,2385.0,132.5,0.007124895222129086,0.14049586776859505,2368.0
Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,4950.0,39.285714285714285,0.025247424762674206,0.3462603878116344,4825.0
Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,3596.0,35.603960396039604,0.027800945232137893,0.4149377593360996,3496.0
Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,3510.0,45.58441558441559,0.02164625462831102,0.21052631578947367,3434.0
Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,4887.0,36.47014925373134,0.02720949263502455,0.3684210526315789,4754.0
Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,6100.0,52.58620689655172,0.018849368955908868,0.3185595567867036,5985.0
Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,7660.0,72.95238095238095,0.013575251272679808,0.2880886426592798,7556.0
Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,11580.0,36.64556962025316,0.027199723685346688,0.8725761772853186,11265.0
Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,4511.0,38.55555555555556,0.025709219858156027,0.32132963988919666,4395.0
Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,5282.0,46.743362831858406,0.021200075714556125,0.31024930747922436,5170.0
Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,6642.0,43.69736842105263,0.022730693963570674,0.4182825484764543,6491.0
Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,9560.0,49.791666666666664,0.019976989854617717,0.5290858725761773,9369.0
Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,5052.0,41.073170731707314,0.02414407282802296,0.3379501385041551,4930.0
Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,5266.0,47.44144144144144,0.020884754129485476,0.3047091412742382,5156.0
Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,1442.0,40.05555555555556,0.024255024255024255,0.09695290858725762,1407.0
Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,5833.0,48.20661157024794,0.02056907781967775,0.33240997229916897,5713.0
Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,7535.0,37.301980198019805,0.026671974522292995,0.556786703601108,7334.0
Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,3167.0,42.22666666666667,0.02335858585858586,0.20498614958448755,3093.0
Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,4692.0,43.850467289719624,0.02258683145109738,0.29362880886426596,4586.0
Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,5167.0,44.93043478260869,0.022058823529411766,0.3157894736842105,5053.0
Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,15500.0,48.28660436137071,0.02064382943035933,0.8864265927977839,15180.0
Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,4342.0,33.65891472868217,0.029472714713331797,0.3545706371191136,4214.0
Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N,3158.0,31.26732673267327,0.03165558721114277,0.2770083102493075,3058.0
Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,5126.0,35.351724137931036,0.028086600351082503,0.3988919667590028,4982.0
Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,11376.0,61.49189189189189,0.016172980574843985,0.5096952908587258,11192.0
Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,5416.0,48.792792792792795,0.020306442680450433,0.3047091412742382,5306.0
Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,3600.0,44.44444444444444,0.022216051096917523,0.22160664819944598,3520.0
Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,3013.0,62.770833333333336,0.015593895155938951,0.13019390581717452,2966.0
Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,2400.0,31.57894736842105,0.03123698458975427,0.2077562326869806,2325.0
Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,6277.0,46.49629629629629,0.021344377190187957,0.37119113573407203,6143.0
Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y,4695.0,48.402061855670105,0.020442930153321975,0.2659279778393352,4599.0
Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y,3410.0,38.31460674157304,0.0257988859571973,0.24376731301939059,3322.0
Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,5649.0,125.53333333333333,0.007787610619469027,0.12188365650969529,5605.0
Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,5821.0,40.144827586206894,0.024733768464445208,0.3988919667590028,5677.0
Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,6085.0,50.289256198347104,0.019717384160368057,0.33240997229916897,5965.0
Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,6275.0,43.275862068965516,0.022944550669216062,0.3988919667590028,6131.0
Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,3572.0,35.366336633663366,0.027987685418415897,0.2770083102493075,3472.0
Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,3086.0,25.50413223140496,0.038872691933916424,0.33240997229916897,2966.0
Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,4230.0,37.43362831858407,0.02647128338454266,0.31024930747922436,4118.0
Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,4616.0,34.19259259259259,0.02902317522200563,0.37119113573407203,4482.0
Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,11500.0,40.069686411149824,0.024867402834536128,0.7922437673130194,11214.0
Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,3875.0,39.54081632653061,0.02502579979360165,0.26869806094182824,3778.0
Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,3723.0,38.381443298969074,0.02577873254564984,0.2659279778393352,3627.0
Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,5566.0,40.9264705882353,0.02425004490749057,0.3739612188365651,5431.0
Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,10330.0,57.07182320441989,0.017423289129803503,0.4986149584487535,10150.0
Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,6216.0,42.86896551724138,0.023162296927778672,0.3988919667590028,6072.0
Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,6296.0,52.03305785123967,0.019056693663649357,0.33240997229916897,6176.0
Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,3029.0,30.29,0.032673267326732675,0.2742382271468144,2930.0
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,6058.0,36.493975903614455,0.027232216537382406,0.9116022099447514,5893.0
Male,Yes,1,Graduate,No,4945,0.0,128.0,360.0,0.0,Rural,N,4945.0,38.333333333333336,0.02587949858471492,0.3545706371191136,4817.0
Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,4166.0,35.60683760683761,0.027837772978161746,0.32132963988919666,4050.0
Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,10321.0,39.84942084942085,0.024995155977523737,0.7146814404432132,10063.0
Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,5454.0,42.94488188976378,0.0230980751604033,0.6961325966850829,5328.0
Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,10750.0,34.34504792332268,0.02902055622732769,0.8642659279778393,10438.0
Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,7100.0,56.34920634920635,0.017603154485283764,2.0491803278688523,6975.0
Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,4300.0,31.386861313868614,0.03162055335968379,0.3767313019390582,4164.0
Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,6274.0,36.26589595375722,0.02741035856573705,0.47645429362880887,6102.0
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y,3750.0,38.265306122448976,0.025859770727805917,0.26869806094182824,3653.0
Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,3500.0,42.68292682926829,0.02313624678663239,0.2691029900332226,3419.0
Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,N,4755.0,49.53125,0.019974768713204374,0.2631578947368421,4660.0
Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y,7040.0,37.4468085106383,0.02655872745348672,0.518005540166205,6853.0
Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N,3750.0,32.89473684210526,0.030125299920021328,0.23492723492723494,3637.0
Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N,8500.0,48.0225988700565,0.0207034466533349,0.48753462603878117,8324.0
Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N,4022.0,36.234234234234236,0.02734277902063137,0.3047091412742382,3912.0
Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N,7167.0,39.59668508287293,0.025111607142857144,0.5980066445182725,6987.0
Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,Y,5499.0,41.97709923664122,0.023636363636363636,0.3601108033240997,5369.0
Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y,3846.0,34.339285714285715,0.028853652196516765,0.3074792243767313,3735.0
Male,Yes,1,Graduate,Yes,2395,0.0,128.0,360.0,1.0,Semiurban,Y,2395.0,18.565891472868216,0.05342237061769616,0.3545706371191136,2267.0
Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N,3259.0,19.398809523809526,0.05122699386503068,0.4626038781163435,3092.0
Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,N,8250.0,31.015037593984964,0.03211731911283481,0.7340720221606648,7985.0
Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y,3988.0,78.19607843137256,0.012534469791927802,0.2074688796680498,3938.0
Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y,4897.0,35.74452554744526,0.027766435279706004,0.3767313019390582,4761.0
Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,Y,5333.0,53.33,0.01856017997750281,0.2742382271468144,5234.0
Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y,4618.0,43.98095238095238,0.022515696038103484,0.2880886426592798,4514.0
Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,8566.0,40.59715639810427,0.02451266487685304,0.5817174515235457,8356.0
Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y,9862.0,56.03409090909091,0.017743080198722498,0.48476454293628807,9687.0
Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y,5858.0,44.378787878787875,0.022358764294248164,0.3628808864265928,5727.0
Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y,11904.0,62.98412698412698,0.015791684166316673,1.0386740331491713,11716.0
Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y,5093.0,62.109756097560975,0.015901060070671377,0.22437673130193905,5012.0
Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y,4133.0,33.60162601626016,0.029511369134010642,0.3379501385041551,4011.0
Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,3620.0,139.23076923076923,0.006904170118751726,0.2066115702479339,3595.0
Male,No,0,Graduate,No,6782,0.0,128.0,360.0,1.0,Urban,N,6782.0,52.57364341085271,0.018870706177207725,0.3545706371191136,6654.0
Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y,4786.0,34.68115942028985,0.028619176937539167,0.37950138504155123,4649.0
Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y,2974.0,58.31372549019608,0.01680672268907563,0.13850415512465375,2924.0
Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y,4188.0,36.10344827586207,0.027452852709477202,0.6353591160220995,4073.0
Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y,5300.0,40.15151515151515,0.024712318430484815,0.3628808864265928,5169.0
Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y,7551.0,56.350746268656714,0.017611228813559324,0.7348066298342542,7418.0
Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,8649.0,56.901315789473685,0.017456647398843932,0.4182825484764543,8498.0
Male,Yes,0,Graduate,No,13650,0.0,128.0,360.0,1.0,Urban,Y,13650.0,105.81395348837209,0.0093766024467072,0.3545706371191136,13522.0
Male,Yes,0,Graduate,No,4652,3583.0,128.0,360.0,1.0,Semiurban,Y,8235.0,63.83720930232558,0.015541525012141816,0.3545706371191136,8107.0
Male,Yes,0,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y,4570.0,28.385093167701864,0.03500328155764603,0.44321329639889195,4410.0
Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y,4082.0,40.415841584158414,0.02449179524859172,0.2770083102493075,3982.0
Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y,12543.0,55.5,0.01793686224489796,0.6232686980609419,12318.0
Male,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,N,7333.0,60.603305785123965,0.01636214889555495,0.33240997229916897,7213.0
Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,7400.0,34.10138248847926,0.029185245237130116,0.5983379501385041,7184.0
Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y,2825.0,29.736842105263158,0.03326256192498231,0.19542619542619544,2731.0
Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y,5316.0,38.802919708029194,0.025578333646793305,0.3767313019390582,5180.0
Female,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,Y,5262.0,37.58571428571429,0.026410792323769715,0.3850415512465374,5123.0
Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,0.0,Rural,N,7686.0,50.23529411764706,0.01977364381423182,0.42105263157894735,7534.0
Female,No,1,Graduate,Yes,7451,0.0,128.0,360.0,1.0,Semiurban,Y,7451.0,57.75968992248062,0.017176596886741814,0.3545706371191136,7323.0
Male,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,Y,5050.0,42.436974789915965,0.02336171055236587,0.3268698060941828,4932.0
Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y,14583.0,78.40322580645162,0.012685134393856282,1.022099447513812,14398.0
Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,5450.0,35.16129032258065,0.028251696936341955,0.4265927977839335,5296.0
Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,Y,3612.0,42.0,0.023526155549404928,0.23545706371191136,3527.0
Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N,7710.0,43.80681818181818,0.022694851510828687,0.48476454293628807,7535.0
Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y,10408.0,40.03076923076923,0.02488231338264963,0.7174515235457064,10149.0
Male,Yes,0,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,8334.0,46.04419889502763,0.021595680863827234,0.4986149584487535,8154.0
Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y,4166.0,92.57777777777778,0.010559155267578594,0.12188365650969529,4122.0
Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y,11117.0,80.55797101449275,0.012322360136715237,0.37950138504155123,10980.0
Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y,2957.0,36.0609756097561,0.02738336713995943,0.22437673130193905,2876.0
Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y,6314.0,32.37948717948718,0.030720506730007917,0.5373961218836565,6120.0
Female,No,0,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,Y,3692.0,39.276595744680854,0.025182778229082048,0.25761772853185594,3599.0
Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y,23803.0,64.15902964959568,0.015543606116619056,1.0249307479224377,23433.0
Male,No,0,Graduate,No,3865,1640.0,128.0,360.0,1.0,Rural,Y,5505.0,42.674418604651166,0.023247366509262624,0.3545706371191136,5377.0
Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N,14363.0,89.2111801242236,0.01113895850737956,0.8839779005524862,14203.0
Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,1.0,Rural,N,8649.0,47.26229508196721,0.021040462427745665,0.5041551246537396,8467.0
Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,Y,20166.0,30.976958525345623,0.03223087221698815,1.3513513513513513,19516.0
Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,3943.0,52.57333333333333,0.018762677484787018,0.20498614958448755,3869.0
Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,2718.0,38.28169014084507,0.025744759102611255,0.19390581717451524,2648.0
Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y,3459.0,133.03846153846155,0.0072254335260115606,0.2066115702479339,3434.0
Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y,4895.0,47.52427184466019,0.020833333333333332,0.28254847645429365,4793.0
Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N,11750.0,40.37800687285223,0.024678750744617478,0.8033240997229917,11460.0
Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N,4583.0,53.917647058823526,0.01832460732984293,0.23268698060941828,4499.0
Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y,6816.0,76.58426966292134,0.012908904210063077,0.24376731301939059,6728.0
Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N,14999.0,61.724279835390945,0.016133333333333333,0.6703601108033241,14757.0
Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N,5630.0,43.30769230769231,0.02290889717634523,0.3573407202216066,5501.0
Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N,7125.0,38.306451612903224,0.02596126859388156,0.5124653739612188,6940.0
Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,5417.0,32.053254437869825,0.031007751937984496,0.46537396121883656,5249.0
Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y,6950.0,39.48863636363637,0.025176233635448138,0.9668508287292817,6775.0
Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y,4732.0,38.47154471544715,0.025776463131206424,0.3379501385041551,4610.0
Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y,11757.0,62.537234042553195,0.01590406531723082,1.0331491712707181,11570.0
Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,6816.0,67.48514851485149,0.014669209329617133,0.2770083102493075,6716.0
Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y,14866.0,209.38028169014083,0.004708414609537903,0.19390581717451524,14796.0
Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,2963.0,95.58064516129032,0.010121457489878543,0.08310249307479224,2933.0
Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N,11666.0,51.61946902654867,0.019285163281049112,0.6232686980609419,11441.0
Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y,5690.0,45.15873015873016,0.021964505359339307,0.3462603878116344,5565.0
Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N,6277.0,52.747899159663866,0.01879579483912074,0.3268698060941828,6159.0
Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y,6327.0,41.35294117647059,0.02402022756005057,0.42105263157894735,6175.0
